Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
HAM,11.0,0 days 00:01:17.120000,1.0,HARD,11.0,,,0 days 00:00:20.216000,0 days 00:00:36.509000,0 days 00:00:20.395000,197.0,191.0,263.0,269.0
HAM,12.0,0 days 00:01:17.530000,1.0,HARD,12.0,,,0 days 00:00:20.524000,0 days 00:00:36.457000,0 days 00:00:20.549000,180.0,192.0,256.0,278.0
HAM,13.0,0 days 00:01:16.799000,1.0,HARD,13.0,,,0 days 00:00:20.185000,0 days 00:00:36.352000,0 days 00:00:20.262000,197.0,194.0,256.0,278.0
HAM,14.0,0 days 00:01:16.151000,1.0,HARD,14.0,,,0 days 00:00:19.982000,0 days 00:00:35.936000,0 days 00:00:20.233000,199.0,194.0,255.0,278.0
HAM,15.0,0 days 00:01:15.991000,1.0,HARD,15.0,,,0 days 00:00:19.869000,0 days 00:00:35.944000,0 days 00:00:20.178000,204.0,194.0,256.0,277.0
HAM,16.0,0 days 00:01:15.941000,1.0,HARD,16.0,,,0 days 00:00:19.798000,0 days 00:00:35.920000,0 days 00:00:20.223000,201.0,193.0,255.0,278.0
HAM,17.0,0 days 00:01:14.977000,1.0,HARD,17.0,,,0 days 00:00:19.740000,0 days 00:00:35.316000,0 days 00:00:19.921000,205.0,194.0,256.0,276.0
HAM,18.0,0 days 00:01:31.862000,1.0,HARD,18.0,,0 days 01:21:01.299000,0 days 00:00:19.705000,0 days 00:00:35.837000,0 days 00:00:36.320000,208.0,194.0,,276.0
HAM,19.0,0 days 00:01:18.042000,2.0,HARD,2.0,0 days 01:21:24.815000,,0 days 00:00:22.287000,0 days 00:00:35.664000,0 days 00:00:20.091000,201.0,190.0,254.0,274.0
HAM,20.0,0 days 00:01:15.065000,2.0,HARD,3.0,,,0 days 00:00:19.671000,0 days 00:00:35.370000,0 days 00:00:20.024000,206.0,196.0,255.0,275.0
HAM,21.0,0 days 00:01:15.750000,2.0,HARD,4.0,,,0 days 00:00:19.882000,0 days 00:00:35.758000,0 days 00:00:20.110000,204.0,194.0,256.0,275.0
HAM,22.0,0 days 00:01:15.003000,2.0,HARD,5.0,,,0 days 00:00:19.655000,0 days 00:00:35.418000,0 days 00:00:19.930000,207.0,196.0,255.0,275.0
HAM,23.0,0 days 00:01:15.012000,2.0,HARD,6.0,,,0 days 00:00:19.570000,0 days 00:00:35.517000,0 days 00:00:19.925000,206.0,196.0,257.0,276.0
HAM,24.0,0 days 00:01:15.212000,2.0,HARD,7.0,,,0 days 00:00:19.816000,0 days 00:00:35.570000,0 days 00:00:19.826000,203.0,197.0,257.0,276.0
HAM,25.0,0 days 00:01:14.698000,2.0,HARD,8.0,,,0 days 00:00:19.489000,0 days 00:00:35.388000,0 days 00:00:19.821000,209.0,198.0,257.0,277.0
HAM,26.0,0 days 00:01:14.804000,2.0,HARD,9.0,,,0 days 00:00:19.527000,0 days 00:00:35.451000,0 days 00:00:19.826000,206.0,198.0,257.0,277.0
HAM,27.0,0 days 00:01:14.533000,2.0,HARD,10.0,,,0 days 00:00:19.391000,0 days 00:00:35.365000,0 days 00:00:19.777000,209.0,196.0,258.0,277.0
HAM,28.0,0 days 00:01:15.420000,2.0,HARD,11.0,,,0 days 00:00:19.455000,0 days 00:00:35.732000,0 days 00:00:20.233000,207.0,194.0,258.0,279.0
HAM,29.0,0 days 00:01:16.810000,2.0,HARD,12.0,,,0 days 00:00:20.314000,0 days 00:00:36.205000,0 days 00:00:20.291000,197.0,192.0,259.0,278.0
HAM,30.0,0 days 00:01:15.884000,2.0,HARD,13.0,,,0 days 00:00:19.801000,0 days 00:00:35.919000,0 days 00:00:20.164000,203.0,194.0,259.0,279.0
HAM,31.0,0 days 00:01:15.648000,2.0,HARD,14.0,,,0 days 00:00:19.912000,0 days 00:00:35.752000,0 days 00:00:19.984000,206.0,196.0,259.0,281.0
HAM,32.0,0 days 00:01:15.676000,2.0,HARD,15.0,,,0 days 00:00:19.715000,0 days 00:00:35.824000,0 days 00:00:20.137000,201.0,196.0,259.0,283.0
HAM,33.0,0 days 00:01:16.536000,2.0,HARD,16.0,,,0 days 00:00:19.759000,0 days 00:00:36.165000,0 days 00:00:20.612000,200.0,190.0,261.0,285.0
HAM,34.0,0 days 00:01:17.566000,2.0,HARD,17.0,,,0 days 00:00:20.517000,0 days 00:00:36.458000,0 days 00:00:20.591000,192.0,189.0,259.0,283.0
HAM,35.0,0 days 00:01:17.826000,2.0,HARD,18.0,,,0 days 00:00:20.193000,0 days 00:00:37.076000,0 days 00:00:20.557000,196.0,185.0,259.0,281.0
HAM,36.0,0 days 00:01:17.218000,2.0,HARD,19.0,,,0 days 00:00:20.209000,0 days 00:00:36.625000,0 days 00:00:20.384000,190.0,191.0,267.0,282.0
HAM,37.0,0 days 00:01:17.288000,2.0,HARD,20.0,,,0 days 00:00:20.131000,0 days 00:00:36.659000,0 days 00:00:20.498000,193.0,194.0,256.0,280.0
HAM,38.0,0 days 00:01:15.938000,2.0,HARD,21.0,,,0 days 00:00:19.928000,0 days 00:00:35.905000,0 days 00:00:20.105000,202.0,195.0,257.0,277.0
HAM,39.0,0 days 00:01:15.446000,2.0,HARD,22.0,,,0 days 00:00:19.841000,0 days 00:00:35.592000,0 days 00:00:20.013000,203.0,197.0,256.0,277.0
HAM,40.0,0 days 00:01:14.951000,2.0,HARD,23.0,,,0 days 00:00:19.584000,0 days 00:00:35.421000,0 days 00:00:19.946000,205.0,199.0,257.0,278.0
HAM,41.0,0 days 00:01:15.111000,2.0,HARD,24.0,,,0 days 00:00:19.770000,0 days 00:00:35.512000,0 days 00:00:19.829000,203.0,198.0,258.0,277.0
HAM,42.0,0 days 00:01:14.984000,2.0,HARD,25.0,,,0 days 00:00:19.619000,0 days 00:00:35.530000,0 days 00:00:19.835000,207.0,198.0,257.0,276.0
HAM,43.0,0 days 00:01:14.854000,2.0,HARD,26.0,,,0 days 00:00:19.655000,0 days 00:00:35.424000,0 days 00:00:19.775000,,199.0,257.0,276.0
HAM,44.0,0 days 00:01:14.686000,2.0,HARD,27.0,,,0 days 00:00:19.570000,0 days 00:00:35.362000,0 days 00:00:19.754000,,200.0,258.0,276.0
