Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
HAM,27.0,0 days 00:01:33.152000,1.0,HARD,27.0,,,0 days 00:00:32.428000,0 days 00:00:42.539000,0 days 00:00:18.185000,280.0,300.0,266.0,297.0
HAM,28.0,0 days 00:01:33.040000,1.0,HARD,28.0,,,0 days 00:00:32.269000,0 days 00:00:42.475000,0 days 00:00:18.296000,282.0,300.0,266.0,299.0
HAM,29.0,0 days 00:01:33.215000,1.0,HARD,29.0,,,0 days 00:00:32.253000,0 days 00:00:42.648000,0 days 00:00:18.314000,283.0,300.0,265.0,300.0
HAM,30.0,0 days 00:01:36.186000,1.0,HARD,30.0,,0 days 01:43:08.469000,0 days 00:00:32.308000,0 days 00:00:42.764000,0 days 00:00:21.114000,,300.0,,300.0
HAM,31.0,0 days 00:01:52.362000,2.0,MEDIUM,1.0,0 days 01:43:31.485000,,0 days 00:00:52.756000,0 days 00:00:41.789000,0 days 00:00:17.817000,278.0,299.0,266.0,293.0
HAM,32.0,0 days 00:01:31.803000,2.0,MEDIUM,2.0,,,0 days 00:00:32.439000,0 days 00:00:41.538000,0 days 00:00:17.826000,282.0,304.0,271.0,300.0
HAM,33.0,0 days 00:01:31.589000,2.0,MEDIUM,3.0,,,0 days 00:00:32.444000,0 days 00:00:41.404000,0 days 00:00:17.741000,283.0,305.0,271.0,303.0
HAM,34.0,0 days 00:01:31.884000,2.0,MEDIUM,4.0,,,0 days 00:00:32.355000,0 days 00:00:41.639000,0 days 00:00:17.890000,280.0,303.0,267.0,297.0
HAM,35.0,0 days 00:01:32.385000,2.0,MEDIUM,5.0,,,0 days 00:00:32.489000,0 days 00:00:41.865000,0 days 00:00:18.031000,281.0,302.0,266.0,297.0
HAM,36.0,0 days 00:01:31.915000,2.0,MEDIUM,6.0,,,0 days 00:00:32.320000,0 days 00:00:41.612000,0 days 00:00:17.983000,,303.0,267.0,297.0
HAM,37.0,0 days 00:01:31.889000,2.0,MEDIUM,7.0,,,0 days 00:00:32.320000,0 days 00:00:41.611000,0 days 00:00:17.958000,,303.0,267.0,297.0
HAM,38.0,0 days 00:01:31.869000,2.0,MEDIUM,8.0,,,0 days 00:00:32.263000,0 days 00:00:41.625000,0 days 00:00:17.981000,282.0,303.0,267.0,302.0
HAM,39.0,0 days 00:01:31.978000,2.0,MEDIUM,9.0,,,0 days 00:00:32.207000,0 days 00:00:41.786000,0 days 00:00:17.985000,283.0,302.0,267.0,302.0
HAM,40.0,0 days 00:01:31.663000,2.0,MEDIUM,10.0,,,0 days 00:00:32.063000,0 days 00:00:41.648000,0 days 00:00:17.952000,282.0,302.0,267.0,299.0
HAM,41.0,0 days 00:01:31.569000,2.0,MEDIUM,11.0,,,0 days 00:00:31.995000,0 days 00:00:41.601000,0 days 00:00:17.973000,283.0,302.0,267.0,300.0
HAM,42.0,0 days 00:01:31.517000,2.0,MEDIUM,12.0,,,0 days 00:00:31.931000,0 days 00:00:41.638000,0 days 00:00:17.948000,284.0,302.0,268.0,300.0
HAM,43.0,0 days 00:01:32.634000,2.0,MEDIUM,13.0,,,0 days 00:00:32.794000,0 days 00:00:41.902000,0 days 00:00:17.938000,,302.0,268.0,301.0
HAM,44.0,0 days 00:01:32.185000,2.0,MEDIUM,14.0,,,0 days 00:00:32.327000,0 days 00:00:41.780000,0 days 00:00:18.078000,,302.0,267.0,299.0
HAM,45.0,0 days 00:01:32.668000,2.0,MEDIUM,15.0,,,0 days 00:00:32.791000,0 days 00:00:41.780000,0 days 00:00:18.097000,281.0,302.0,267.0,297.0
HAM,46.0,0 days 00:01:31.792000,2.0,MEDIUM,16.0,,,0 days 00:00:32.143000,0 days 00:00:41.685000,0 days 00:00:17.964000,282.0,302.0,268.0,300.0
HAM,47.0,0 days 00:01:31.603000,2.0,MEDIUM,17.0,,,0 days 00:00:31.926000,0 days 00:00:41.735000,0 days 00:00:17.942000,,302.0,268.0,297.0
HAM,48.0,0 days 00:01:31.502000,2.0,MEDIUM,18.0,,,0 days 00:00:31.935000,0 days 00:00:41.618000,0 days 00:00:17.949000,284.0,303.0,269.0,302.0
HAM,49.0,0 days 00:01:31.944000,2.0,MEDIUM,19.0,,,0 days 00:00:32.076000,0 days 00:00:41.868000,0 days 00:00:18,282.0,303.0,268.0,300.0
HAM,50.0,0 days 00:01:31.832000,2.0,MEDIUM,20.0,,,0 days 00:00:31.901000,0 days 00:00:41.854000,0 days 00:00:18.077000,283.0,302.0,268.0,297.0
HAM,51.0,0 days 00:01:31.406000,2.0,MEDIUM,21.0,,,0 days 00:00:31.819000,0 days 00:00:41.674000,0 days 00:00:17.913000,285.0,301.0,269.0,301.0
HAM,52.0,0 days 00:01:31.842000,2.0,MEDIUM,22.0,,,0 days 00:00:32.051000,0 days 00:00:41.775000,0 days 00:00:18.016000,288.0,302.0,269.0,302.0
HAM,53.0,0 days 00:01:31.423000,2.0,MEDIUM,23.0,,,0 days 00:00:31.665000,0 days 00:00:41.748000,0 days 00:00:18.010000,287.0,302.0,266.0,302.0
