,count,mean,std,min,25%,50%,75%,max
LapNumber,104.0,26.5,15.08101101398323,1.0,13.75,26.5,39.25,52.0
Stint,104.0,2.0,0.6385663554332174,1.0,2.0,2.0,2.0,3.0
TyreLife,104.0,12.48076923076923,8.471517979575287,1.0,6.0,10.0,18.25,32.0
SpeedI1,96.0,274.6041666666667,41.48087172780058,112.0,279.75,292.0,295.0,311.0
SpeedI2,104.0,224.94230769230768,44.55667862573279,61.0,225.5,241.0,245.0,262.0
SpeedFL,100.0,201.5,49.94471691254989,62.0,181.25,220.0,232.5,252.0
SpeedST,104.0,277.38461538461536,61.3573501808044,77.0,295.75,304.0,309.0,330.0
