,count,mean,std,min,25%,50%,75%,max
LapNumber,106.0,27.0,15.369729061651393,1.0,14.0,27.0,40.0,53.0
Stint,106.0,1.5188679245283019,0.5020174930640545,1.0,1.0,2.0,2.0,2.0
TyreLife,106.0,14.150943396226415,8.34014097497637,1.0,7.0,14.0,20.0,32.0
SpeedI1,88.0,280.5681818181818,3.0429698686866073,273.0,279.0,280.5,283.0,290.0
SpeedI2,106.0,301.02830188679246,1.5210118635134926,299.0,300.0,301.0,302.0,309.0
SpeedFL,104.0,266.36538461538464,2.0577001598197393,263.0,265.0,266.0,268.0,275.0
SpeedST,106.0,297.9056603773585,2.9229088638572187,288.0,296.0,298.0,300.0,305.0
