,count,mean,std,min,25%,50%,75%,max
LapNumber,156.0,39.5,22.587321593632865,1.0,20.0,39.5,59.0,78.0
Stint,156.0,2.0705128205128207,0.7629499580865389,1.0,1.0,2.0,3.0,3.0
TyreLife,156.0,15.525641025641026,9.054279842008574,1.0,8.0,15.0,22.0,39.0
SpeedI1,142.0,198.18309859154928,17.74429074830616,72.0,198.0,202.0,206.0,214.0
SpeedI2,156.0,192.03846153846155,10.800767365441317,99.0,191.0,194.0,197.0,202.0
SpeedFL,152.0,257.1907894736842,14.507697683913719,157.0,257.0,258.0,261.0,270.0
SpeedST,156.0,275.6666666666667,10.32024839244291,204.0,276.0,277.0,279.0,286.0
