,count,mean,std,min,25%,50%,75%,max
LapNumber,126.0,32.0,18.25683433676277,1.0,16.25,32.0,47.75,63.0
Stint,126.0,2.0952380952380953,0.843123444613624,1.0,1.0,2.0,3.0,3.0
TyreLife,126.0,12.547619047619047,8.403434671948979,1.0,6.0,11.0,17.0,34.0
SpeedI1,114.0,205.17543859649123,29.84243151675948,91.0,212.0,215.5,219.0,224.0
SpeedI2,126.0,244.11904761904762,28.052410133279352,145.0,253.0,255.0,257.0,262.0
SpeedFL,122.0,271.4016393442623,20.490134629256364,168.0,276.0,277.0,280.0,285.0
SpeedST,126.0,273.23809523809524,44.91955985027967,70.0,287.0,290.0,292.0,297.0
