Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:32:12.122000,ANT,12,,17.0,3.0,,,0 days 00:00:54.182000,0 days 00:01:03.685000,0 days 00:00:51.738000,0 days 01:30:16.886000,0 days 01:31:20.593000,0 days 01:32:12.270000,241.0,183.0,190.0,110.0,False,INTERMEDIATE,8.0,True,Mercedes,0 days 01:29:22.652000,2025-07-06 14:37:03.265,41,15.0,False,,False,False
0 days 01:34:25.922000,ANT,12,0 days 00:02:13.800000,18.0,3.0,,,0 days 00:00:38.036000,0 days 00:00:55.492000,0 days 00:00:40.272000,0 days 01:32:50.227000,0 days 01:33:45.719000,0 days 01:34:25.991000,278.0,157.0,175.0,184.0,False,INTERMEDIATE,9.0,True,Mercedes,0 days 01:32:12.122000,2025-07-06 14:39:52.735,124,16.0,False,,False,False
0 days 01:36:57.026000,ANT,12,,19.0,3.0,,,0 days 00:00:44.147000,0 days 00:01:02.717000,0 days 00:00:44.272000,0 days 01:35:10.224000,0 days 01:36:13.195000,0 days 01:36:57.095000,195.0,178.0,68.0,177.0,False,INTERMEDIATE,10.0,True,Mercedes,0 days 01:34:25.922000,2025-07-06 14:42:06.535,4,15.0,False,,False,False
0 days 01:39:31.365000,ANT,12,,20.0,3.0,,0 days 01:39:25.387000,0 days 00:00:52.249000,0 days 00:01:05.660000,0 days 00:00:36.420000,0 days 01:37:49.466000,0 days 01:38:55.155000,0 days 01:39:31.434000,145.0,81.0,,175.0,False,INTERMEDIATE,11.0,True,Mercedes,0 days 01:36:57.026000,2025-07-06 14:44:37.639,4,6.0,False,,False,False
0 days 01:42:16.194000,ANT,12,,21.0,4.0,0 days 01:39:55.175000,,0 days 00:01:04.833000,0 days 00:01:00.817000,0 days 00:00:39.134000,0 days 01:40:36.396000,0 days 01:41:37.183000,0 days 01:42:16.351000,176.0,80.0,191.0,157.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 01:39:31.365000,2025-07-06 14:47:11.978,41,16.0,False,,False,False
0 days 01:44:11.695000,ANT,12,0 days 00:01:55.501000,22.0,4.0,,,0 days 00:00:36.270000,0 days 00:00:48.886000,0 days 00:00:30.345000,0 days 01:42:52.533000,0 days 01:43:41.419000,0 days 01:44:11.764000,286.0,235.0,207.0,303.0,False,INTERMEDIATE,2.0,True,Mercedes,0 days 01:42:16.194000,2025-07-06 14:49:56.807,12,16.0,False,,False,True
0 days 01:46:08.395000,ANT,12,0 days 00:01:56.700000,23.0,4.0,,0 days 01:46:02.187000,0 days 00:00:37.944000,0 days 00:00:48.402000,0 days 00:00:30.354000,0 days 01:44:49.708000,0 days 01:45:38.110000,0 days 01:46:08.464000,265.0,227.0,,276.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 01:44:11.695000,2025-07-06 14:51:52.308,1,16.0,False,,False,False
0 days 00:58:19.789000,RUS,63,0 days 00:02:10.567000,1.0,1.0,0 days 00:56:22.315000,,,0 days 00:00:46.483000,0 days 00:00:37.692000,,0 days 00:57:42.379000,0 days 00:58:19.928000,272.0,207.0,140.0,249.0,False,HARD,1.0,True,Mercedes,0 days 00:56:09.003000,2025-07-06 14:03:49.616,126,14.0,False,,False,False
0 days 01:00:36.727000,RUS,63,0 days 00:02:16.938000,2.0,1.0,,,0 days 00:00:47.756000,0 days 00:00:52.218000,0 days 00:00:36.964000,0 days 00:59:07.557000,0 days 00:59:59.775000,0 days 01:00:36.739000,136.0,201.0,157.0,238.0,True,HARD,2.0,True,Mercedes,0 days 00:58:19.789000,2025-07-06 14:06:00.402,6,14.0,False,,False,False
0 days 01:02:53.154000,RUS,63,0 days 00:02:16.427000,3.0,1.0,,,0 days 00:00:46.174000,0 days 00:00:52.268000,0 days 00:00:37.985000,0 days 01:01:22.913000,0 days 01:02:15.181000,0 days 01:02:53.166000,92.0,205.0,165.0,158.0,True,HARD,3.0,True,Mercedes,0 days 01:00:36.727000,2025-07-06 14:08:17.340,671,14.0,False,,False,False
0 days 01:04:44.572000,RUS,63,0 days 00:01:51.418000,4.0,1.0,,,0 days 00:00:35.919000,0 days 00:00:42.781000,0 days 00:00:32.718000,0 days 01:03:29.085000,0 days 01:04:11.866000,0 days 01:04:44.584000,286.0,240.0,179.0,309.0,True,HARD,4.0,True,Mercedes,0 days 01:02:53.154000,2025-07-06 14:10:33.767,12,14.0,False,,False,True
0 days 01:06:39.997000,RUS,63,0 days 00:01:55.425000,5.0,1.0,,,0 days 00:00:34.224000,0 days 00:00:41.657000,0 days 00:00:39.544000,0 days 01:05:18.808000,0 days 01:06:00.465000,0 days 01:06:40.009000,298.0,175.0,168.0,262.0,False,HARD,5.0,True,Mercedes,0 days 01:04:44.572000,2025-07-06 14:12:25.185,126,13.0,False,,False,False
0 days 01:08:57.485000,RUS,63,0 days 00:02:17.488000,6.0,1.0,,,0 days 00:00:43.919000,0 days 00:00:54.738000,0 days 00:00:38.831000,0 days 01:07:23.928000,0 days 01:08:18.666000,0 days 01:08:57.497000,181.0,238.0,168.0,184.0,False,HARD,6.0,True,Mercedes,0 days 01:06:39.997000,2025-07-06 14:14:20.610,6,13.0,False,,False,False
0 days 01:10:51.160000,RUS,63,0 days 00:01:53.675000,7.0,1.0,,,0 days 00:00:42.931000,0 days 00:00:39.775000,0 days 00:00:30.969000,0 days 01:09:40.428000,0 days 01:10:20.203000,0 days 01:10:51.172000,254.0,251.0,190.0,309.0,False,HARD,7.0,True,Mercedes,0 days 01:08:57.485000,2025-07-06 14:16:38.098,671,13.0,False,,False,False
0 days 01:12:32.447000,RUS,63,0 days 00:01:41.287000,8.0,1.0,,,0 days 00:00:31.912000,0 days 00:00:38.915000,0 days 00:00:30.460000,0 days 01:11:23.084000,0 days 01:12:01.999000,0 days 01:12:32.459000,299.0,252.0,198.0,310.0,True,HARD,8.0,True,Mercedes,0 days 01:10:51.160000,2025-07-06 14:18:31.773,1,13.0,False,,False,True
0 days 01:14:13.950000,RUS,63,0 days 00:01:41.503000,9.0,1.0,,,0 days 00:00:31.324000,0 days 00:00:38.957000,0 days 00:00:31.222000,0 days 01:13:03.783000,0 days 01:13:42.740000,0 days 01:14:13.962000,301.0,250.0,194.0,295.0,False,HARD,9.0,True,Mercedes,0 days 01:12:32.447000,2025-07-06 14:20:13.060,1,13.0,False,,False,True
0 days 01:15:56.367000,RUS,63,0 days 00:01:42.417000,10.0,1.0,,0 days 01:15:50.497000,0 days 00:00:31.628000,0 days 00:00:42.290000,0 days 00:00:28.499000,0 days 01:14:45.590000,0 days 01:15:27.880000,0 days 01:15:56.379000,298.0,249.0,,280.0,False,HARD,10.0,True,Mercedes,0 days 01:14:13.950000,2025-07-06 14:21:54.563,1,10.0,False,,False,False
0 days 01:18:01.248000,RUS,63,0 days 00:02:04.881000,11.0,2.0,0 days 01:16:19.162000,,0 days 00:00:52.121000,0 days 00:00:43.847000,0 days 00:00:28.913000,0 days 01:16:48.500000,0 days 01:17:32.347000,0 days 01:18:01.260000,287.0,238.0,227.0,309.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 01:15:56.367000,2025-07-06 14:23:36.980,1,13.0,False,,False,False
0 days 01:19:48.819000,RUS,63,0 days 00:01:47.571000,12.0,2.0,,,0 days 00:00:32.830000,0 days 00:00:45.089000,0 days 00:00:29.652000,0 days 01:18:34.090000,0 days 01:19:19.179000,0 days 01:19:48.831000,279.0,243.0,204.0,311.0,False,INTERMEDIATE,2.0,True,Mercedes,0 days 01:18:01.248000,2025-07-06 14:25:41.861,1,11.0,False,,False,True
