Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,34.0,0 days 00:01:44.024000,2.0,INTERMEDIATE,24.0,,,0 days 00:00:32.289000,0 days 00:00:43.087000,0 days 00:00:28.648000,297.0,240.0,220.0,318.0
LEC,35.0,0 days 00:01:43.415000,2.0,INTERMEDIATE,25.0,,,0 days 00:00:32.389000,0 days 00:00:42.702000,0 days 00:00:28.324000,303.0,240.0,224.0,305.0
LEC,36.0,0 days 00:01:42.957000,2.0,INTERMEDIATE,26.0,,,0 days 00:00:31.923000,0 days 00:00:42.583000,0 days 00:00:28.451000,310.0,245.0,227.0,322.0
LEC,37.0,0 days 00:01:42.994000,2.0,INTERMEDIATE,27.0,,,0 days 00:00:31.982000,0 days 00:00:42.887000,0 days 00:00:28.125000,306.0,246.0,230.0,318.0
LEC,38.0,0 days 00:01:42.457000,2.0,INTERMEDIATE,28.0,,,0 days 00:00:32.063000,0 days 00:00:42.583000,0 days 00:00:27.811000,307.0,242.0,231.0,317.0
LEC,39.0,0 days 00:01:41.051000,2.0,INTERMEDIATE,29.0,,,0 days 00:00:32.263000,0 days 00:00:41.562000,0 days 00:00:27.226000,305.0,243.0,237.0,304.0
LEC,40.0,0 days 00:01:39.633000,2.0,INTERMEDIATE,30.0,,,0 days 00:00:31.667000,0 days 00:00:41.057000,0 days 00:00:26.909000,291.0,241.0,239.0,303.0
LEC,41.0,0 days 00:01:39.616000,2.0,INTERMEDIATE,31.0,,,0 days 00:00:31.544000,0 days 00:00:40.989000,0 days 00:00:27.083000,294.0,237.0,241.0,306.0
LEC,42.0,0 days 00:01:42.920000,2.0,INTERMEDIATE,32.0,,0 days 02:18:30.020000,0 days 00:00:35.359000,0 days 00:00:41.354000,0 days 00:00:26.207000,289.0,235.0,,304.0
LEC,43.0,0 days 00:02:21.050000,3.0,SOFT,4.0,0 days 02:18:58.818000,,0 days 00:00:56.711000,0 days 00:00:44.166000,0 days 00:00:40.173000,247.0,240.0,235.0,312.0
LEC,44.0,0 days 00:01:39.076000,3.0,SOFT,5.0,,,0 days 00:00:31.469000,0 days 00:00:40.994000,0 days 00:00:26.613000,293.0,250.0,245.0,304.0
LEC,45.0,0 days 00:01:33.731000,3.0,SOFT,6.0,,,0 days 00:00:30.610000,0 days 00:00:37.964000,0 days 00:00:25.157000,294.0,259.0,251.0,308.0
LEC,46.0,0 days 00:01:31.961000,3.0,SOFT,7.0,,,0 days 00:00:29.567000,0 days 00:00:37.446000,0 days 00:00:24.948000,295.0,258.0,250.0,308.0
LEC,47.0,0 days 00:01:31.557000,3.0,SOFT,8.0,,,0 days 00:00:29.433000,0 days 00:00:37.366000,0 days 00:00:24.758000,293.0,261.0,250.0,308.0
LEC,48.0,0 days 00:01:31.274000,3.0,SOFT,9.0,,,0 days 00:00:29.254000,0 days 00:00:37.364000,0 days 00:00:24.656000,292.0,260.0,252.0,306.0
