Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:01:30.794000,PIA,81,0 days 00:01:31.330000,42.0,2.0,,,0 days 00:00:31.663000,0 days 00:00:41.733000,0 days 00:00:17.934000,0 days 02:00:31.166000,0 days 02:01:12.899000,0 days 02:01:30.833000,286.0,305.0,274.0,305.0,True,HARD,22.0,True,McLaren,0 days 01:59:59.464000,2025-04-06 06:07:39.894,1,3.0,False,,False,True
0 days 02:03:02.214000,PIA,81,0 days 00:01:31.420000,43.0,2.0,,,0 days 00:00:31.629000,0 days 00:00:41.763000,0 days 00:00:18.028000,0 days 02:02:02.462000,0 days 02:02:44.225000,0 days 02:03:02.253000,288.0,308.0,276.0,307.0,False,HARD,23.0,True,McLaren,0 days 02:01:30.794000,2025-04-06 06:09:11.224,1,3.0,False,,False,True
0 days 02:04:34.089000,PIA,81,0 days 00:01:31.875000,44.0,2.0,,,0 days 00:00:31.859000,0 days 00:00:42.073000,0 days 00:00:17.943000,0 days 02:03:34.112000,0 days 02:04:16.185000,0 days 02:04:34.128000,286.0,303.0,271.0,297.0,False,HARD,24.0,True,McLaren,0 days 02:03:02.214000,2025-04-06 06:10:42.644,1,3.0,False,,False,True
0 days 02:06:05.640000,PIA,81,0 days 00:01:31.551000,45.0,2.0,,,0 days 00:00:31.703000,0 days 00:00:41.872000,0 days 00:00:17.976000,0 days 02:05:05.831000,0 days 02:05:47.703000,0 days 02:06:05.679000,282.0,304.0,271.0,296.0,False,HARD,25.0,True,McLaren,0 days 02:04:34.089000,2025-04-06 06:12:14.519,1,3.0,False,,False,True
0 days 02:07:36.924000,PIA,81,0 days 00:01:31.284000,46.0,2.0,,,0 days 00:00:31.611000,0 days 00:00:41.703000,0 days 00:00:17.970000,0 days 02:06:37.290000,0 days 02:07:18.993000,0 days 02:07:36.963000,288.0,305.0,273.0,304.0,True,HARD,26.0,True,McLaren,0 days 02:06:05.640000,2025-04-06 06:13:46.070,1,3.0,False,,False,True
0 days 02:09:08.146000,PIA,81,0 days 00:01:31.222000,47.0,2.0,,,0 days 00:00:31.547000,0 days 00:00:41.703000,0 days 00:00:17.972000,0 days 02:08:08.510000,0 days 02:08:50.213000,0 days 02:09:08.185000,287.0,305.0,274.0,305.0,True,HARD,27.0,True,McLaren,0 days 02:07:36.924000,2025-04-06 06:15:17.354,1,3.0,False,,False,True
0 days 02:10:39.255000,PIA,81,0 days 00:01:31.109000,48.0,2.0,,,0 days 00:00:31.387000,0 days 00:00:41.719000,0 days 00:00:18.003000,0 days 02:09:39.572000,0 days 02:10:21.291000,0 days 02:10:39.294000,288.0,309.0,277.0,309.0,True,HARD,28.0,True,McLaren,0 days 02:09:08.146000,2025-04-06 06:16:48.576,1,3.0,False,,False,True
0 days 02:12:11.096000,PIA,81,0 days 00:01:31.841000,49.0,2.0,,,0 days 00:00:31.819000,0 days 00:00:42.030000,0 days 00:00:17.992000,0 days 02:11:11.113000,0 days 02:11:53.143000,0 days 02:12:11.135000,283.0,305.0,274.0,301.0,False,HARD,29.0,True,McLaren,0 days 02:10:39.255000,2025-04-06 06:18:19.685,1,3.0,False,,False,True
0 days 02:13:42.640000,PIA,81,0 days 00:01:31.544000,50.0,2.0,,,0 days 00:00:31.526000,0 days 00:00:41.954000,0 days 00:00:18.064000,0 days 02:12:42.661000,0 days 02:13:24.615000,0 days 02:13:42.679000,284.0,304.0,271.0,301.0,False,HARD,30.0,True,McLaren,0 days 02:12:11.096000,2025-04-06 06:19:51.526,1,3.0,False,,False,True
0 days 02:15:13.779000,PIA,81,0 days 00:01:31.139000,51.0,2.0,,,0 days 00:00:31.518000,0 days 00:00:41.697000,0 days 00:00:17.924000,0 days 02:14:14.197000,0 days 02:14:55.894000,0 days 02:15:13.818000,289.0,304.0,271.0,302.0,False,HARD,31.0,True,McLaren,0 days 02:13:42.640000,2025-04-06 06:21:23.070,1,3.0,False,,False,True
0 days 02:16:44.980000,PIA,81,0 days 00:01:31.201000,52.0,2.0,,,0 days 00:00:31.473000,0 days 00:00:41.712000,0 days 00:00:18.016000,0 days 02:15:45.291000,0 days 02:16:27.003000,0 days 02:16:45.019000,287.0,305.0,271.0,304.0,False,HARD,32.0,True,McLaren,0 days 02:15:13.779000,2025-04-06 06:22:54.209,1,3.0,False,,False,True
0 days 02:18:16.019000,PIA,81,0 days 00:01:31.039000,53.0,2.0,,,0 days 00:00:31.335000,0 days 00:00:41.643000,0 days 00:00:18.061000,0 days 02:17:16.354000,0 days 02:17:57.997000,0 days 02:18:16.058000,292.0,306.0,271.0,304.0,True,HARD,33.0,True,McLaren,0 days 02:16:44.980000,2025-04-06 06:24:25.410,1,3.0,False,,False,True
