Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 03:15:37.081000,HAM,44,0 days 00:01:47.036000,30.0,2.0,,,0 days 00:00:30.806000,0 days 00:00:47.449000,0 days 00:00:28.781000,0 days 03:14:20.939000,0 days 03:15:08.388000,0 days 03:15:37.169000,327.0,205.0,222.0,313.0,False,MEDIUM,19.0,True,Ferrari,0 days 03:13:50.045000,2025-07-27 15:19:18.015,1,7.0,False,,False,True
0 days 03:17:24.198000,HAM,44,0 days 00:01:47.117000,31.0,2.0,,,0 days 00:00:30.780000,0 days 00:00:47.589000,0 days 00:00:28.748000,0 days 03:16:07.949000,0 days 03:16:55.538000,0 days 03:17:24.286000,334.0,206.0,223.0,314.0,False,MEDIUM,20.0,True,Ferrari,0 days 03:15:37.081000,2025-07-27 15:21:05.051,1,7.0,False,,False,True
0 days 03:19:11.178000,HAM,44,0 days 00:01:46.980000,32.0,2.0,,,0 days 00:00:30.810000,0 days 00:00:47.491000,0 days 00:00:28.679000,0 days 03:17:55.096000,0 days 03:18:42.587000,0 days 03:19:11.266000,331.0,205.0,223.0,315.0,False,MEDIUM,21.0,True,Ferrari,0 days 03:17:24.198000,2025-07-27 15:22:52.168,1,7.0,False,,False,True
0 days 03:20:58.519000,HAM,44,0 days 00:01:47.341000,33.0,2.0,,,0 days 00:00:30.659000,0 days 00:00:47.887000,0 days 00:00:28.795000,0 days 03:19:41.925000,0 days 03:20:29.812000,0 days 03:20:58.607000,344.0,207.0,224.0,,False,MEDIUM,22.0,True,Ferrari,0 days 03:19:11.178000,2025-07-27 15:24:39.148,1,7.0,False,,False,True
0 days 03:22:46.009000,HAM,44,0 days 00:01:47.490000,34.0,2.0,,,0 days 00:00:31.121000,0 days 00:00:47.536000,0 days 00:00:28.833000,0 days 03:21:29.728000,0 days 03:22:17.264000,0 days 03:22:46.097000,329.0,206.0,223.0,313.0,False,MEDIUM,23.0,True,Ferrari,0 days 03:20:58.519000,2025-07-27 15:26:26.489,1,7.0,False,,False,True
0 days 03:24:33.023000,HAM,44,0 days 00:01:47.014000,35.0,2.0,,,0 days 00:00:30.748000,0 days 00:00:47.482000,0 days 00:00:28.784000,0 days 03:23:16.845000,0 days 03:24:04.327000,0 days 03:24:33.111000,319.0,206.0,224.0,314.0,False,MEDIUM,24.0,True,Ferrari,0 days 03:22:46.009000,2025-07-27 15:28:13.979,1,7.0,False,,False,True
0 days 03:26:20.113000,HAM,44,0 days 00:01:47.090000,36.0,2.0,,,0 days 00:00:30.867000,0 days 00:00:47.455000,0 days 00:00:28.768000,0 days 03:25:03.978000,0 days 03:25:51.433000,0 days 03:26:20.201000,328.0,204.0,223.0,313.0,False,MEDIUM,25.0,True,Ferrari,0 days 03:24:33.023000,2025-07-27 15:30:00.993,1,7.0,False,,False,True
0 days 03:28:07.246000,HAM,44,0 days 00:01:47.133000,37.0,2.0,,,0 days 00:00:31.153000,0 days 00:00:47.279000,0 days 00:00:28.701000,0 days 03:26:51.354000,0 days 03:27:38.633000,0 days 03:28:07.334000,315.0,207.0,223.0,312.0,False,MEDIUM,26.0,True,Ferrari,0 days 03:26:20.113000,2025-07-27 15:31:48.083,1,7.0,False,,False,True
0 days 03:29:54.421000,HAM,44,0 days 00:01:47.175000,38.0,2.0,,,0 days 00:00:31.092000,0 days 00:00:47.268000,0 days 00:00:28.815000,0 days 03:28:38.426000,0 days 03:29:25.694000,0 days 03:29:54.509000,,207.0,222.0,313.0,False,MEDIUM,27.0,True,Ferrari,0 days 03:28:07.246000,2025-07-27 15:33:35.216,1,7.0,False,,False,True
0 days 03:31:41.211000,HAM,44,0 days 00:01:46.790000,39.0,2.0,,,0 days 00:00:31.014000,0 days 00:00:47.042000,0 days 00:00:28.734000,0 days 03:30:25.523000,0 days 03:31:12.565000,0 days 03:31:41.299000,316.0,206.0,220.0,314.0,True,MEDIUM,28.0,True,Ferrari,0 days 03:29:54.421000,2025-07-27 15:35:22.391,1,7.0,False,,False,True
0 days 03:33:28.237000,HAM,44,0 days 00:01:47.026000,40.0,2.0,,,0 days 00:00:31.095000,0 days 00:00:47.202000,0 days 00:00:28.729000,0 days 03:32:12.394000,0 days 03:32:59.596000,0 days 03:33:28.325000,314.0,209.0,220.0,313.0,False,MEDIUM,29.0,True,Ferrari,0 days 03:31:41.211000,2025-07-27 15:37:09.181,1,7.0,False,,False,True
0 days 03:35:15.113000,HAM,44,0 days 00:01:46.876000,41.0,2.0,,,0 days 00:00:31.055000,0 days 00:00:47.055000,0 days 00:00:28.766000,0 days 03:33:59.380000,0 days 03:34:46.435000,0 days 03:35:15.201000,313.0,208.0,222.0,314.0,False,MEDIUM,30.0,True,Ferrari,0 days 03:33:28.237000,2025-07-27 15:38:56.207,1,7.0,False,,False,True
0 days 03:37:02.074000,HAM,44,0 days 00:01:46.961000,42.0,2.0,,,0 days 00:00:31.096000,0 days 00:00:46.958000,0 days 00:00:28.907000,0 days 03:35:46.297000,0 days 03:36:33.255000,0 days 03:37:02.162000,318.0,205.0,219.0,312.0,False,MEDIUM,31.0,True,Ferrari,0 days 03:35:15.113000,2025-07-27 15:40:43.083,1,7.0,False,,False,True
0 days 03:38:48.608000,HAM,44,0 days 00:01:46.534000,43.0,2.0,,,0 days 00:00:31.075000,0 days 00:00:46.818000,0 days 00:00:28.641000,0 days 03:37:33.237000,0 days 03:38:20.055000,0 days 03:38:48.696000,316.0,208.0,221.0,313.0,True,MEDIUM,32.0,True,Ferrari,0 days 03:37:02.074000,2025-07-27 15:42:30.044,1,7.0,False,,False,True
0 days 03:40:35.568000,HAM,44,0 days 00:01:46.960000,44.0,2.0,,,0 days 00:00:30.651000,0 days 00:00:47.391000,0 days 00:00:28.918000,0 days 03:39:19.347000,0 days 03:40:06.738000,0 days 03:40:35.656000,341.0,203.0,185.0,314.0,False,MEDIUM,33.0,True,Ferrari,0 days 03:38:48.608000,2025-07-27 15:44:16.578,1,7.0,False,,False,True
