Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:46:50.603000,RUS,63,0 days 00:01:20.675000,36.0,3.0,,,0 days 00:00:25.375000,0 days 00:00:28.327000,0 days 00:00:26.973000,0 days 01:45:55.319000,0 days 01:46:23.646000,0 days 01:46:50.619000,218.0,257.0,276.0,296.0,True,HARD,7.0,True,Mercedes,0 days 01:45:29.928000,2025-05-18 13:53:03.843,1,9.0,False,,False,True
0 days 01:48:11.147000,RUS,63,0 days 00:01:20.544000,37.0,3.0,,,0 days 00:00:25.517000,0 days 00:00:28.157000,0 days 00:00:26.870000,0 days 01:47:16.136000,0 days 01:47:44.293000,0 days 01:48:11.163000,,260.0,278.0,295.0,True,HARD,8.0,True,Mercedes,0 days 01:46:50.603000,2025-05-18 13:54:24.518,1,9.0,False,,False,True
0 days 01:49:31.609000,RUS,63,0 days 00:01:20.462000,38.0,3.0,,,0 days 00:00:25.551000,0 days 00:00:28.113000,0 days 00:00:26.798000,0 days 01:48:36.714000,0 days 01:49:04.827000,0 days 01:49:31.625000,,260.0,278.0,294.0,True,HARD,9.0,True,Mercedes,0 days 01:48:11.147000,2025-05-18 13:55:45.062,1,9.0,False,,False,True
0 days 01:50:52.123000,RUS,63,0 days 00:01:20.514000,39.0,3.0,,,0 days 00:00:25.556000,0 days 00:00:28.097000,0 days 00:00:26.861000,0 days 01:49:57.181000,0 days 01:50:25.278000,0 days 01:50:52.139000,221.0,260.0,277.0,295.0,False,HARD,10.0,True,Mercedes,0 days 01:49:31.609000,2025-05-18 13:57:05.524,1,9.0,False,,False,True
0 days 01:52:12.237000,RUS,63,0 days 00:01:20.114000,40.0,3.0,,,0 days 00:00:25.348000,0 days 00:00:27.958000,0 days 00:00:26.808000,0 days 01:51:17.487000,0 days 01:51:45.445000,0 days 01:52:12.253000,222.0,259.0,276.0,299.0,True,HARD,11.0,True,Mercedes,0 days 01:50:52.123000,2025-05-18 13:58:26.038,1,9.0,False,,False,True
0 days 01:53:32.753000,RUS,63,0 days 00:01:20.516000,41.0,3.0,,,0 days 00:00:25.544000,0 days 00:00:28.003000,0 days 00:00:26.969000,0 days 01:52:37.797000,0 days 01:53:05.800000,0 days 01:53:32.769000,221.0,259.0,278.0,296.0,False,HARD,12.0,True,Mercedes,0 days 01:52:12.237000,2025-05-18 13:59:46.152,1,9.0,False,,False,True
0 days 01:54:53.062000,RUS,63,0 days 00:01:20.309000,42.0,3.0,,,0 days 00:00:25.427000,0 days 00:00:27.953000,0 days 00:00:26.929000,0 days 01:53:58.196000,0 days 01:54:26.149000,0 days 01:54:53.078000,222.0,259.0,278.0,302.0,False,HARD,13.0,True,Mercedes,0 days 01:53:32.753000,2025-05-18 14:01:06.668,1,9.0,False,,False,True
0 days 01:56:13.339000,RUS,63,0 days 00:01:20.277000,43.0,3.0,,,0 days 00:00:25.335000,0 days 00:00:27.989000,0 days 00:00:26.953000,0 days 01:55:18.413000,0 days 01:55:46.402000,0 days 01:56:13.355000,221.0,260.0,278.0,302.0,False,HARD,14.0,True,Mercedes,0 days 01:54:53.062000,2025-05-18 14:02:26.977,1,9.0,False,,False,True
0 days 01:57:33.550000,RUS,63,0 days 00:01:20.211000,44.0,3.0,,,0 days 00:00:25.429000,0 days 00:00:27.888000,0 days 00:00:26.894000,0 days 01:56:38.784000,0 days 01:57:06.672000,0 days 01:57:33.566000,224.0,260.0,277.0,301.0,False,HARD,15.0,True,Mercedes,0 days 01:56:13.339000,2025-05-18 14:03:47.254,1,9.0,False,,False,True
0 days 01:58:54.056000,RUS,63,0 days 00:01:20.506000,45.0,3.0,,,0 days 00:00:25.345000,0 days 00:00:28.204000,0 days 00:00:26.957000,0 days 01:57:58.911000,0 days 01:58:27.115000,0 days 01:58:54.072000,,260.0,273.0,300.0,False,HARD,16.0,True,Mercedes,0 days 01:57:33.550000,2025-05-18 14:05:07.465,124,8.0,False,,False,False
0 days 02:00:47.793000,RUS,63,0 days 00:01:53.737000,46.0,3.0,,,0 days 00:00:39.736000,0 days 00:00:38.838000,0 days 00:00:35.163000,0 days 01:59:33.808000,0 days 02:00:12.646000,0 days 02:00:47.809000,163.0,246.0,232.0,214.0,False,HARD,17.0,True,Mercedes,0 days 01:58:54.056000,2025-05-18 14:06:27.971,4,8.0,False,,False,False
0 days 02:02:40.481000,RUS,63,0 days 00:01:52.688000,47.0,3.0,,,0 days 00:00:35.997000,0 days 00:00:39.794000,0 days 00:00:36.897000,0 days 02:01:23.806000,0 days 02:02:03.600000,0 days 02:02:40.497000,160.0,228.0,256.0,189.0,False,HARD,18.0,True,Mercedes,0 days 02:00:47.793000,2025-05-18 14:08:21.708,4,6.0,False,,False,False
0 days 02:04:20.618000,RUS,63,0 days 00:01:40.137000,48.0,3.0,,,0 days 00:00:29.745000,0 days 00:00:39.398000,0 days 00:00:30.994000,0 days 02:03:10.242000,0 days 02:03:49.640000,0 days 02:04:20.634000,206.0,229.0,255.0,288.0,False,HARD,19.0,True,Mercedes,0 days 02:02:40.481000,2025-05-18 14:10:14.396,4,6.0,False,,False,False
0 days 02:06:12.697000,RUS,63,0 days 00:01:52.079000,49.0,3.0,,,0 days 00:00:32.094000,0 days 00:00:41.777000,0 days 00:00:38.208000,0 days 02:04:52.728000,0 days 02:05:34.505000,0 days 02:06:12.713000,182.0,165.0,174.0,259.0,False,HARD,20.0,True,Mercedes,0 days 02:04:20.618000,2025-05-18 14:11:54.533,4,6.0,False,,False,False
0 days 02:08:22.358000,RUS,63,0 days 00:02:09.661000,50.0,3.0,,,0 days 00:00:38.032000,0 days 00:00:48.178000,0 days 00:00:43.451000,0 days 02:06:50.745000,0 days 02:07:38.923000,0 days 02:08:22.374000,96.0,172.0,203.0,96.0,False,HARD,21.0,True,Mercedes,0 days 02:06:12.697000,2025-05-18 14:13:46.612,4,6.0,False,,False,False
0 days 02:10:26.092000,RUS,63,0 days 00:02:03.734000,51.0,3.0,,,0 days 00:00:39.034000,0 days 00:00:44.797000,0 days 00:00:39.903000,0 days 02:09:01.408000,0 days 02:09:46.205000,0 days 02:10:26.108000,167.0,189.0,248.0,190.0,False,HARD,22.0,True,Mercedes,0 days 02:08:22.358000,2025-05-18 14:15:56.273,4,6.0,False,,False,False
0 days 02:12:24.521000,RUS,63,0 days 00:01:58.429000,52.0,3.0,,,0 days 00:00:36.247000,0 days 00:00:43.563000,0 days 00:00:38.619000,0 days 02:11:02.355000,0 days 02:11:45.918000,0 days 02:12:24.537000,123.0,161.0,250.0,192.0,False,HARD,23.0,True,Mercedes,0 days 02:10:26.092000,2025-05-18 14:18:00.007,4,6.0,False,,False,False
0 days 02:14:31.668000,RUS,63,0 days 00:02:07.147000,53.0,3.0,,,0 days 00:00:36.884000,0 days 00:00:42.361000,0 days 00:00:47.902000,0 days 02:13:01.421000,0 days 02:13:43.782000,0 days 02:14:31.684000,83.0,190.0,283.0,74.0,False,HARD,24.0,True,Mercedes,0 days 02:12:24.521000,2025-05-18 14:19:58.436,41,6.0,False,,False,False
0 days 02:15:52.943000,RUS,63,0 days 00:01:21.275000,54.0,3.0,,,0 days 00:00:26.027000,0 days 00:00:28.502000,0 days 00:00:26.746000,0 days 02:14:57.711000,0 days 02:15:26.213000,0 days 02:15:52.959000,221.0,263.0,280.0,303.0,False,HARD,25.0,True,Mercedes,0 days 02:14:31.668000,2025-05-18 14:22:05.583,1,6.0,False,,False,True
0 days 02:17:12.676000,RUS,63,0 days 00:01:19.733000,55.0,3.0,,,0 days 00:00:25.246000,0 days 00:00:27.958000,0 days 00:00:26.529000,0 days 02:16:18.205000,0 days 02:16:46.163000,0 days 02:17:12.692000,220.0,260.0,282.0,302.0,True,HARD,26.0,True,Mercedes,0 days 02:15:52.943000,2025-05-18 14:23:26.858,1,6.0,False,,False,True
0 days 02:18:33.614000,RUS,63,0 days 00:01:20.938000,56.0,3.0,,,0 days 00:00:25.502000,0 days 00:00:28.614000,0 days 00:00:26.822000,0 days 02:17:38.194000,0 days 02:18:06.808000,0 days 02:18:33.630000,217.0,251.0,278.0,302.0,False,HARD,27.0,True,Mercedes,0 days 02:17:12.676000,2025-05-18 14:24:46.591,1,6.0,False,,False,True
0 days 02:19:54.131000,RUS,63,0 days 00:01:20.517000,57.0,3.0,,,0 days 00:00:25.726000,0 days 00:00:28.022000,0 days 00:00:26.769000,0 days 02:18:59.356000,0 days 02:19:27.378000,0 days 02:19:54.147000,220.0,261.0,280.0,302.0,False,HARD,28.0,True,Mercedes,0 days 02:18:33.614000,2025-05-18 14:26:07.529,1,7.0,False,,False,True
0 days 02:21:13.998000,RUS,63,0 days 00:01:19.867000,58.0,3.0,,,0 days 00:00:25.199000,0 days 00:00:27.819000,0 days 00:00:26.849000,0 days 02:20:19.346000,0 days 02:20:47.165000,0 days 02:21:14.014000,221.0,261.0,279.0,303.0,False,HARD,29.0,True,Mercedes,0 days 02:19:54.131000,2025-05-18 14:27:28.046,1,7.0,False,,False,True
0 days 02:22:33.981000,RUS,63,0 days 00:01:19.983000,59.0,3.0,,,0 days 00:00:25.277000,0 days 00:00:27.813000,0 days 00:00:26.893000,0 days 02:21:39.291000,0 days 02:22:07.104000,0 days 02:22:33.997000,,261.0,280.0,301.0,False,HARD,30.0,True,Mercedes,0 days 02:21:13.998000,2025-05-18 14:28:47.913,1,7.0,False,,False,True
0 days 02:23:53.802000,RUS,63,0 days 00:01:19.821000,60.0,3.0,,,0 days 00:00:25.202000,0 days 00:00:27.907000,0 days 00:00:26.712000,0 days 02:22:59.199000,0 days 02:23:27.106000,0 days 02:23:53.818000,222.0,262.0,281.0,304.0,False,HARD,31.0,True,Mercedes,0 days 02:22:33.981000,2025-05-18 14:30:07.896,1,7.0,False,,False,True
0 days 02:25:13.643000,RUS,63,0 days 00:01:19.841000,61.0,3.0,,,0 days 00:00:25.030000,0 days 00:00:27.935000,0 days 00:00:26.876000,0 days 02:24:18.848000,0 days 02:24:46.783000,0 days 02:25:13.659000,223.0,263.0,281.0,303.0,False,HARD,32.0,True,Mercedes,0 days 02:23:53.802000,2025-05-18 14:31:27.717,1,7.0,False,,False,True
0 days 02:26:34.122000,RUS,63,0 days 00:01:20.479000,62.0,3.0,,,0 days 00:00:25.394000,0 days 00:00:28.162000,0 days 00:00:26.923000,0 days 02:25:39.053000,0 days 02:26:07.215000,0 days 02:26:34.138000,221.0,262.0,281.0,303.0,False,HARD,33.0,True,Mercedes,0 days 02:25:13.643000,2025-05-18 14:32:47.558,1,7.0,False,,False,True
0 days 02:27:54.586000,RUS,63,0 days 00:01:20.464000,63.0,3.0,,,0 days 00:00:25.316000,0 days 00:00:28.123000,0 days 00:00:27.025000,0 days 02:26:59.454000,0 days 02:27:27.577000,0 days 02:27:54.602000,,261.0,281.0,303.0,False,HARD,34.0,True,Mercedes,0 days 02:26:34.122000,2025-05-18 14:34:08.037,1,7.0,False,,False,True
