Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
HAM,51.0,0 days 00:02:03.287000,3.0,HARD,5.0,,,0 days 00:00:38.448000,0 days 00:00:44.384000,0 days 00:00:40.455000,162.0,145.0,231.0,182.0
HAM,52.0,0 days 00:01:58.593000,3.0,HARD,6.0,,,0 days 00:00:36.105000,0 days 00:00:42.872000,0 days 00:00:39.616000,98.0,158.0,232.0,186.0
HAM,53.0,0 days 00:02:06.042000,3.0,HARD,7.0,,,0 days 00:00:36.639000,0 days 00:00:41.528000,0 days 00:00:47.875000,91.0,188.0,285.0,70.0
HAM,54.0,0 days 00:01:21.550000,3.0,HARD,8.0,,,0 days 00:00:26.107000,0 days 00:00:28.617000,0 days 00:00:26.826000,220.0,258.0,281.0,292.0
HAM,55.0,0 days 00:01:19.731000,3.0,HARD,9.0,,,0 days 00:00:25.398000,0 days 00:00:27.743000,0 days 00:00:26.590000,222.0,259.0,284.0,291.0
HAM,56.0,0 days 00:01:20.847000,3.0,HARD,10.0,,,0 days 00:00:25.336000,0 days 00:00:28.509000,0 days 00:00:27.002000,217.0,257.0,282.0,295.0
HAM,57.0,0 days 00:01:18.446000,3.0,HARD,11.0,,,0 days 00:00:24.576000,0 days 00:00:27.397000,0 days 00:00:26.473000,220.0,257.0,277.0,288.0
HAM,58.0,0 days 00:01:18.780000,3.0,HARD,12.0,,,0 days 00:00:25.032000,0 days 00:00:27.385000,0 days 00:00:26.363000,223.0,258.0,279.0,293.0
HAM,59.0,0 days 00:01:19.423000,3.0,HARD,13.0,,,0 days 00:00:25.074000,0 days 00:00:27.701000,0 days 00:00:26.648000,221.0,262.0,281.0,293.0
HAM,60.0,0 days 00:01:19.881000,3.0,HARD,14.0,,,0 days 00:00:25.483000,0 days 00:00:27.775000,0 days 00:00:26.623000,,261.0,282.0,295.0
HAM,61.0,0 days 00:01:18.265000,3.0,HARD,15.0,,,0 days 00:00:24.534000,0 days 00:00:27.480000,0 days 00:00:26.251000,224.0,260.0,278.0,292.0
HAM,62.0,0 days 00:01:18.845000,3.0,HARD,16.0,,,0 days 00:00:25.114000,0 days 00:00:27.435000,0 days 00:00:26.296000,222.0,262.0,277.0,292.0
HAM,63.0,0 days 00:01:19.249000,3.0,HARD,17.0,,,0 days 00:00:25.051000,0 days 00:00:27.681000,0 days 00:00:26.517000,224.0,259.0,270.0,293.0
